date,time,T,Po,U,Ff,WW,Nh,H,VV,Td
2018-10-30,23,25.0,755.4,97,2 m/s,Thunderstorm (with or without precipitation).,50%.,300-600,15.0,24.5
2018-10-30,20,28.6,754.9,83,3 m/s,"Lightning visible, no thunder heard.",60%.,300-600,15.0,25.4
2018-10-30,17,30.9,752.7,75,2 m/s,"Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. estimated to be more than 5 km from the station.",50%.,300-600,15.0,26.0
2018-10-30,14,32.9,753.0,66,2 m/s,"Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. estimated to be more than 5 km from the station.",50%.,300-600,15.0,25.7
2018-10-30,11,31.8,755.3,66,2 m/s,Clouds generally dissolving or becoming less developed.,40%.,300-600,20.0,24.6
2018-10-30,8,26.1,755.2,92,,Haze.,20–30%.,300-600,8.0,24.7
2018-10-30,5,24.7,754.0,96,1 m/s,"Lightning visible, no thunder heard.",50%.,300-600,15.0,24.0
2018-10-30,2,25.4,754.1,93,1 m/s,Clouds generally dissolving or becoming less developed.,40%.,600-1000,15.0,24.2
2018-10-29,23,26.7,755.5,86,2 m/s,"Lightning visible, no thunder heard.",50%.,300-600,15.0,24.2
2018-10-29,20,28.5,754.3,81,3 m/s,"Lightning visible, no thunder heard.",50%.,300-600,15.0,24.9
2018-10-29,17,31.1,753.0,66,4 m/s,Clouds generally dissolving or becoming less developed.,40%.,600-1000,20.0,23.9
2018-10-29,14,33.2,753.3,57,2 m/s,Clouds generally dissolving or becoming less developed.,50%.,300-600,20.0,23.6
2018-10-29,11,30.8,755.8,68,2 m/s,Clouds generally forming or developing.,50%.,300-600,20.0,24.2
2018-10-29,8,25.1,756.0,97,1 m/s,Clouds generally dissolving or becoming less developed.,20–30%.,300-600,18.0,24.6
2018-10-29,5,23.6,754.7,100,,"Fog or ice fog, sky visible, has begun or has become thicker during the preceding hour.",50%.,Less,0.8,23.6
2018-10-29,2,24.1,755.2,98,,Rain (not freezing) not falling as shower(s).,50%.,600-1000,10.0,23.8
2018-10-28,23,24.3,756.6,99,2 m/s,"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation.",50%.,300-600,6.0,24.2
2018-10-28,20,23.9,756.1,98,4 m/s,"Rain, not freezing, continuous, slight at time of observation.",50%.,300-600,5.0,23.5
2018-10-28,17,27.4,754.0,89,3 m/s,"Thunderstorm, but no precipitation at the time of observation.",60%.,300-600,10.0,25.4
2018-10-28,14,32.6,754.3,64,3 m/s,"Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. estimated to be more than 5 km from the station.",50%.,300-600,15.0,24.9
2018-10-28,11,31.4,756.6,66,2 m/s,Clouds generally forming or developing.,50%.,300-600,20.0,24.4
2018-10-28,8,26.6,756.6,92,1 m/s,Clouds generally dissolving or becoming less developed.,20–30%.,600-1000,20.0,25.1
2018-10-28,5,24.8,755.6,98,1 m/s,Clouds generally dissolving or becoming less developed.,40%.,600-1000,15.0,24.5
2018-10-28,2,25.2,756.2,98,1 m/s,Clouds generally forming or developing.,40%.,600-1000,15.0,24.8
2018-10-27,23,25.6,757.2,97,1 m/s,Clouds generally dissolving or becoming less developed.,20–30%.,600-1000,15.0,25.1
2018-10-27,20,25.7,756.3,97,,State of sky on the whole unchanged.,20–30%.,600-1000,15.0,25.1
2018-10-27,17,26.2,755.0,93,2 m/s,Clouds generally forming or developing.,40%.,600-1000,20.0,25.0
2018-10-27,14,25.0,755.5,95,4 m/s,"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation.",50%.,300-600,5.0,24.2
2018-10-27,11,31.2,757.6,70,2 m/s,Clouds generally dissolving or becoming less developed.,40%.,300-600,20.0,25.2
2018-10-27,8,24.4,757.2,96,1 m/s,Clouds generally dissolving or becoming less developed.,20–30%.,600-1000,20.0,23.7
2018-10-27,5,23.2,755.9,100,,Clouds generally forming or developing.,20–30%.,600-1000,15.0,23.2
2018-10-27,2,24.0,757.0,98,1 m/s,Clouds generally dissolving or becoming less developed.,20–30%.,600-1000,15.0,23.7
2018-10-26,23,25.0,757.9,96,1 m/s,Clouds generally forming or developing.,,600-1000,15.0,24.3
2018-10-26,20,25.5,757.1,97,,State of sky on the whole unchanged.,20–30%.,600-1000,15.0,25.0
2018-10-26,17,27.2,755.6,86,1 m/s,Clouds generally dissolving or becoming less developed.,20–30%.,300-600,20.0,24.7
2018-10-26,14,25.7,756.5,93,2 m/s,"Thunderstorm, but no precipitation at the time of observation.",70,300-600,10.0,24.5
2018-10-26,11,30.6,758.3,74,2 m/s,"Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. estimated to be more than 5 km from the station.",50%.,300-600,10.0,25.5
2018-10-26,8,24.8,758.2,98,2 m/s,Mist.,20–30%.,Less,10.0,24.4
2018-10-26,5,23.6,756.7,100,,Mist.,50%.,Less,5.0,23.6
2018-10-26,2,23.6,757.2,99,,"Lightning visible, no thunder heard.",50%.,300-600,15.0,23.5
2018-10-25,23,24.4,757.9,97,1 m/s,Clouds generally dissolving or becoming less developed.,40%.,600-1000,15.0,23.9
2018-10-25,20,25.2,756.5,95,1 m/s,Rain (not freezing) not falling as shower(s).,50%.,600-1000,15.0,24.4
2018-10-25,17,27.7,755.8,88,1 m/s,Haze.,50%.,300-600,12.0,25.5
2018-10-25,14,24.8,756.4,95,3 m/s,"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation.",50%.,300-600,3.0,24.0
2018-10-25,11,30.1,758.0,72,2 m/s,"Rain shower(s), moderate or heavy.",50%.,300-600,4.0,24.4
2018-10-25,8,25.8,757.6,87,,Clouds generally forming or developing.,40%.,300-600,20.0,23.4
2018-10-25,5,23.5,756.4,97,1 m/s,"Lightning visible, no thunder heard.",40%.,300-600,15.0,23.0
2018-10-25,2,23.6,756.8,97,1 m/s,Clouds generally dissolving or becoming less developed.,20–30%.,600-1000,15.0,23.1
2018-10-24,23,24.4,757.7,92,1 m/s,"Lightning visible, no thunder heard.",40%.,300-600,15.0,23.1
2018-10-24,20,24.8,756.2,90,3 m/s,Clouds generally dissolving or becoming less developed.,40%.,600-1000,15.0,23.1
2018-10-24,17,26.9,755.6,82,4 m/s,"Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. estimated to be more than 5 km from the station.",50%.,300-600,12.0,23.6
2018-10-24,14,30.8,755.9,68,3 m/s,"Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. estimated to be more than 5 km from the station.",60%.,300-600,15.0,24.2
2018-10-24,11,29.0,758.0,81,2 m/s,Clouds generally dissolving or becoming less developed.,20–30%.,300-600,20.0,25.4
2018-10-24,8,24.7,757.3,98,1 m/s,Clouds generally dissolving or becoming less developed.,10%,50-100,15.0,24.3
2018-10-24,5,24.1,755.8,98,1 m/s,Rain (not freezing) not falling as shower(s).,50%.,Less,6.0,23.8
2018-10-24,2,23.8,756.9,99,,"Rain, not freezing, continuous, slight at time of observation.",60%.,300-600,10.0,23.7
2018-10-23,23,24.1,758.3,96,4 m/s,"Thunderstorm, but no precipitation at the time of observation.",60%.,300-600,13.0,23.4
2018-10-23,20,24.9,755.8,96,2 m/s,"Lightning visible, no thunder heard.",20–30%.,300-600,15.0,24.2
2018-10-23,17,24.6,754.1,95,,Thunderstorm (with or without precipitation).,50%.,300-600,20.0,23.8
2018-10-23,14,33.7,754.9,53,3 m/s,Haze.,50%.,300-600,15.0,22.9
2018-10-23,11,31.6,757.3,68,2 m/s,Haze.,50%.,300-600,15.0,24.9
2018-10-23,8,26.0,757.0,92,1 m/s,Haze.,20–30%.,200-300,10.0,24.6
2018-10-23,5,24.4,756.0,97,1 m/s,Mist.,50%.,Less,8.0,23.9
2018-10-23,2,24.9,756.4,98,2 m/s,Clouds generally forming or developing.,20–30%.,600-1000,15.0,24.5
2018-10-22,23,25.8,757.2,93,2 m/s,Clouds generally dissolving or becoming less developed.,20–30%.,600-1000,15.0,24.5
2018-10-22,20,28.0,756.3,83,2 m/s,Clouds generally forming or developing.,20–30%.,600-1000,15.0,24.9
2018-10-22,17,31.2,754.4,66,4 m/s,Haze.,50%.,300-600,15.0,24.2
2018-10-22,14,30.8,755.4,71,3 m/s,"Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. estimated to be more than 5 km from the station.",60%.,300-600,12.0,24.9
2018-10-22,11,30.9,757.4,70,2 m/s,Clouds generally forming or developing.,50%.,600-1000,20.0,24.8
2018-10-22,8,25.6,757.8,91,1 m/s,Clouds generally dissolving or becoming less developed.,10%,300-600,20.0,24.0
2018-10-22,5,24.2,756.5,97,1 m/s,Clouds generally dissolving or becoming less developed.,20–30%.,600-1000,15.0,23.7
2018-10-22,2,24.5,756.8,96,,Clouds generally forming or developing.,40%.,600-1000,15.0,23.8
2018-10-21,23,25.5,758.2,91,1 m/s,State of sky on the whole unchanged.,40%.,600-1000,15.0,23.9
2018-10-21,20,28.1,757.4,75,2 m/s,"Lightning visible, no thunder heard.",50%.,300-600,15.0,23.3
2018-10-21,17,30.5,755.2,63,3 m/s,"Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. estimated to be more than 5 km from the station.",50%.,300-600,15.0,22.7
2018-10-21,14,30.2,756.2,68,3 m/s,Clouds generally forming or developing.,50%.,600-1000,20.0,23.6
2018-10-21,11,29.0,758.3,75,3 m/s,Clouds generally forming or developing.,50%.,300-600,20.0,24.2
2018-10-21,8,23.9,758.1,98,2 m/s,Mist.,40%.,Less,8.0,23.5
2018-10-21,5,23.3,756.8,98,1 m/s,Mist.,60%.,Less,3.0,23.0
2018-10-21,2,23.7,757.4,98,1 m/s,"Rain, not freezing, continuous, slight at time of observation.",60%.,50-100,6.0,23.4
2018-10-20,23,23.9,759.2,98,1 m/s,"Rain, not freezing, continuous, slight at time of observation.",50%.,Less,6.0,23.5
2018-10-20,20,24.2,758.3,95,2 m/s,"Rain, not freezing, intermittent, slight at time of observation.",50%.,Less,10.0,23.3
2018-10-20,17,27.1,755.8,84,4 m/s,"Rain, not freezing, intermittent, slight at time of observation.",60%.,300-600,10.0,24.2
2018-10-20,14,31.7,755.5,68,2 m/s,"Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. estimated to be more than 5 km from the station.",60%.,300-600,15.0,25.2
2018-10-20,11,29.7,758.2,76,2 m/s,Clouds generally forming or developing.,40%.,300-600,20.0,25.1
2018-10-20,8,24.8,757.9,95,1 m/s,Clouds generally dissolving or becoming less developed.,40%.,Less,7.0,24.0
2018-10-20,5,23.9,756.2,99,1 m/s,Mist.,50%.,Less,5.0,23.8
2018-10-20,2,24.1,756.8,98,,"Rain, not freezing, continuous, slight at time of observation.",50%.,Less,8.0,23.8
2018-10-19,23,24.4,757.8,98,,"Rain, not freezing, continuous, slight at time of observation.",50%.,600-1000,8.0,24.1
2018-10-19,20,24.9,757.0,95,2 m/s,Clouds generally forming or developing.,40%.,600-1000,15.0,24.0
2018-10-19,17,24.6,754.7,94,3 m/s,"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation.",50%.,300-600,8.0,23.5
2018-10-19,14,32.6,754.7,56,2 m/s,Clouds generally forming or developing.,50%.,600-1000,25.0,22.6
2018-10-19,11,28.4,757.2,78,1 m/s,Clouds generally dissolving or becoming less developed.,20–30%.,300-600,20.0,24.1
2018-10-19,8,23.5,757.4,95,1 m/s,Clouds generally dissolving or becoming less developed.,10%,600-1000,20.0,22.7
2018-10-19,5,22.6,756.1,99,1 m/s,Mist.,20–30%.,Less,8.0,22.5
2018-10-19,2,22.9,756.7,99,2 m/s,State of sky on the whole unchanged.,50%.,600-1000,15.0,22.8
2018-10-18,23,23.3,758.4,98,2 m/s,Rain (not freezing) not falling as shower(s).,50%.,100-200,15.0,22.9
2018-10-18,20,23.2,757.2,98,2 m/s,"Rain, not freezing, intermittent, slight at time of observation.",40%.,50-100,12.0,22.9
2018-10-18,17,23.1,756.1,98,1 m/s,"Rain, not freezing, intermittent, slight at time of observation.",50%.,Less,8.0,22.7
2018-10-18,14,26.6,756.0,86,3 m/s,"Rain shower(s), slight.",50%.,300-600,10.0,24.1
2018-10-18,11,28.1,757.9,79,2 m/s,"Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. estimated to be more than 5 km from the station.",50%.,100-200,15.0,24.2
2018-10-18,8,24.3,757.1,96,2 m/s,Mist.,60%.,Less,4.0,23.6
2018-10-18,5,23.6,755.6,98,2 m/s,State of sky on the whole unchanged.,50%.,600-1000,15.0,23.2
2018-10-18,2,24.0,755.6,96,1 m/s,Clouds generally forming or developing.,50%.,600-1000,15.0,23.3
2018-10-17,23,24.1,756.8,96,1 m/s,Rain (not freezing) not falling as shower(s).,60%.,300-600,15.0,23.4
2018-10-17,20,24.7,755.7,91,2 m/s,"Lightning visible, no thunder heard.",60%.,300-600,15.0,23.1
2018-10-17,17,27.3,754.4,84,2 m/s,"Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. estimated to be more than 5 km from the station.",40%.,300-600,15.0,24.4
2018-10-17,14,30.6,754.3,67,4 m/s,"Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. estimated to be more than 5 km from the station.",50%.,300-600,15.0,23.9
2018-10-17,11,30.0,757.0,76,2 m/s,Clouds generally forming or developing.,60%.,300-600,20.0,25.3
2018-10-17,8,25.9,757.4,92,,Clouds generally forming or developing.,50%.,300-600,20.0,24.5
2018-10-17,5,25.0,756.1,94,1 m/s,Thunderstorm (with or without precipitation).,60%.,300-600,15.0,23.9
2018-10-17,2,25.0,756.7,95,2 m/s,Thunderstorm (with or without precipitation).,40%.,300-600,15.0,24.1
2018-10-16,23,25.5,757.2,93,2 m/s,"Thunderstorm, but no precipitation at the time of observation.",40%.,300-600,15.0,24.2
2018-10-16,20,26.3,756.6,90,2 m/s,"Lightning visible, no thunder heard.",40%.,300-600,15.0,24.5
2018-10-16,17,29.5,754.8,77,2 m/s,"Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. estimated to be more than 5 km from the station.",70,300-600,15.0,25.1
2018-10-16,14,32.2,755.3,65,2 m/s,Clouds generally dissolving or becoming less developed.,60%.,300-600,20.0,24.7
2018-10-16,11,30.0,757.4,76,2 m/s,Clouds generally forming or developing.,60%.,300-600,20.0,25.4
2018-10-16,8,25.7,757.8,93,1 m/s,Clouds generally dissolving or becoming less developed.,20–30%.,Less,6.0,24.4
2018-10-16,5,24.6,756.7,96,1 m/s,Thunderstorm (with or without precipitation).,40%.,600-1000,15.0,23.9
2018-10-16,2,24.5,756.7,96,2 m/s,"Thunderstorm, but no precipitation at the time of observation.",50%.,300-600,15.0,23.8
2018-10-15,23,24.9,757.8,91,1 m/s,"Thunderstorm, but no precipitation at the time of observation.",50%.,300-600,15.0,23.4
2018-10-15,20,24.4,756.9,96,2 m/s,Thunderstorm (with or without precipitation).,50%.,300-600,15.0,23.7
2018-10-15,17,31.5,754.9,63,1 m/s,"Thunderstorm, but no precipitation at the time of observation.",60%.,300-600,12.0,23.5
2018-10-15,14,32.3,755.6,59,3 m/s,Clouds generally forming or developing.,50%.,600-1000,20.0,23.2
2018-10-15,11,30.1,757.9,70,3 m/s,Clouds generally forming or developing.,40%.,300-600,20.0,24.1
2018-10-15,8,24.6,758.2,91,,Clouds generally dissolving or becoming less developed.,20–30%.,300-600,20.0,23.1
2018-10-15,5,23.3,757.3,97,1 m/s,Clouds generally forming or developing.,40%.,600-1000,15.0,22.8
2018-10-15,2,23.8,757.0,91,2 m/s,Clouds generally dissolving or becoming less developed.,20–30%.,600-1000,15.0,22.3
2018-10-14,23,24.7,758.3,93,1 m/s,Clouds generally forming or developing.,40%.,600-1000,15.0,23.4
2018-10-14,20,26.0,757.6,84,1 m/s,Clouds generally dissolving or becoming less developed.,20–30%.,600-1000,15.0,23.1
2018-10-14,17,28.2,755.9,73,2 m/s,Clouds generally dissolving or becoming less developed.,40%.,600-1000,25.0,23.0
2018-10-14,14,29.3,756.8,63,2 m/s,Clouds generally forming or developing.,40%.,300-600,25.0,21.6
2018-10-14,11,26.9,757.9,82,2 m/s,Clouds generally dissolving or becoming less developed.,20–30%.,200-300,20.0,23.5
2018-10-14,8,23.0,758.4,98,,"Rain, not freezing, continuous, slight at time of observation.",50%.,50-100,10.0,22.6
2018-10-14,5,23.1,757.8,98,1 m/s,"Rain, not freezing, continuous, slight at time of observation.",70,100-200,8.0,22.7
2018-10-14,2,23.9,757.5,97,3 m/s,"Rain, not freezing, intermittent, slight at time of observation.",50%.,600-1000,8.0,23.4
2018-10-13,23,24.8,758.2,93,,State of sky on the whole unchanged.,20–30%.,600-1000,15.0,23.5
2018-10-13,20,25.0,757.0,90,3 m/s,Clouds generally dissolving or becoming less developed.,40%.,600-1000,15.0,23.3
2018-10-13,17,26.5,755.6,84,3 m/s,Clouds generally forming or developing.,40%.,300-600,20.0,23.6
2018-10-13,14,26.7,756.6,83,1 m/s,Rain (not freezing) not falling as shower(s).,40%.,300-600,15.0,23.5
2018-10-13,11,24.4,757.9,94,1 m/s,"Rain, not freezing, continuous, slight at time of observation.",70,100-200,8.0,23.3
2018-10-13,8,24.1,757.2,95,2 m/s,"Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. estimated to be more than 5 km from the station.",60%.,300-600,15.0,23.2
2018-10-13,5,23.9,755.6,95,2 m/s,"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation.",50%.,300-600,5.0,23.1
2018-10-13,2,24.8,756.1,90,3 m/s,"Rain, not freezing, intermittent, slight at time of observation.",60%.,300-600,10.0,23.1
2018-10-12,23,24.6,756.8,93,3 m/s,State of sky on the whole unchanged.,40%.,600-1000,15.0,23.4
2018-10-12,20,25.7,756.0,86,2 m/s,Clouds generally dissolving or becoming less developed.,50%.,600-1000,15.0,23.2
2018-10-12,17,28.7,754.1,79,4 m/s,"Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. estimated to be more than 5 km from the station.",60%.,300-600,15.0,24.7
2018-10-12,14,31.6,755.2,63,2 m/s,"Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. estimated to be more than 5 km from the station.",70,300-600,15.0,23.6
2018-10-12,11,28.6,757.4,76,,Clouds generally dissolving or becoming less developed.,40%.,300-600,18.0,23.9
2018-10-12,8,24.2,756.8,96,1 m/s,Clouds generally forming or developing.,40%.,Less,15.0,23.5
2018-10-12,5,23.5,755.6,97,2 m/s,State of sky on the whole unchanged.,40%.,600-1000,15.0,23.0
2018-10-12,2,23.5,756.3,98,,Clouds generally dissolving or becoming less developed.,40%.,600-1000,15.0,23.2
2018-10-11,23,24.0,757.5,96,1 m/s,State of sky on the whole unchanged.,40%.,600-1000,15.0,23.3
2018-10-11,20,24.5,755.8,95,1 m/s,Clouds generally dissolving or becoming less developed.,40%.,600-1000,15.0,23.7
2018-10-11,17,24.9,754.6,96,2 m/s,"Rain, not freezing, continuous, slight at time of observation.",50%.,50-100,6.0,24.2
2018-10-11,14,23.7,755.2,99,6 m/s,"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation.",60%.,300-600,0.5,23.6
